bottle,sample,group, temp.treatment,concentraiton.treatment,start.time,end.time,time.elapsed,temp.measured.c,abs,leaf_dry_mass_g,dilution,PO4.ug.l
1,final,final,12,10,10.21666667,1.216666667,3,12.5,0.052,0.74,1,8.77405424
2,final,final,12,10,10.23333333,1.266666667,3.033333333,12.7,0.039,0.61,1,6.23189176
3,blank,final,12,10,10.25,1.3,3.05,13.1,0.065,NA,1,11.441466
4,final,final,12,15,10.33333333,1.35,3.016666667,12.1,0.021,0.56,1,2.91874696
5,final,final,12,15,10.35,1.383333333,3.033333333,12.3,0.04,0.44,1,6.422996
6,blank,final,12,15,10.36666667,1.433333333,3.066666667,12.7,0.068,NA,1,12.07480944
7,final,final,12,25,10.45,1.466666667,3.016666667,12.4,0.049,0.42,1,8.17628456
8,final,final,12,25,10.46666667,1.5,3.033333333,11.9,0.033,0.55,1,5.10082984
9,blank,final,12,25,10.46666667,1.55,3.083333333,12.1,0.1,NA,1,19.2455
10,final,final,12,45,10.56666667,1.583333333,3.016666667,11.9,0.056,0.39,1,9.58145616
11,final,final,12,45,10.58333333,1.616666667,3.033333333,12.1,0.038,0.48,1,6.04152864
12,blank,final,12,45,10.6,1.666666667,3.066666667,12.2,0.152,NA,1,32.51647824
13,final,final,12,90,10.76666667,1.733333333,2.966666667,11.9,0.13,0.47,1,26.657264
14,final,final,12,90,10.78333333,1.766666667,2.983333333,11.7,0.077,0.43,1,14.01486024
15,blank,final,12,90,10.78333333,1.8,3.016666667,11.9,0.259,NA,1,66.12840536
16,final,final,12,150,10.9,1.833333333,2.933333333,12.1,0.213,0.57,1,50.63862664
17,final,final,12,150,10.91666667,1.866666667,2.95,11.8,0.242,0.47,1,60.22123584
18,blank,final,12,150,10.91666667,1.9,2.983333333,11.6,0.377,NA,1,113.0341322
19,final,final,12,225,11.21666667,1.95,2.733333333,11.9,0.237,0.48,2,58.52459464
20,final,final,12,225,11.23333333,2.116666667,2.883333333,11.7,0.203,0.59,2,47.47879704
21,blank,final,12,225,11.23333333,2.15,2.916666667,11.5,0.293,NA,2,78.58529544
22,final,final,12,300,11.3,2.183333333,2.883333333,11.8,0.313,0.37,2,86.31308264
23,final,final,12,300,11.31666667,2.233333333,2.916666667,11.7,0.203,0.48,2,47.47879704
24,blank,final,12,300,11.31666667,2.266666667,2.95,11.6,0.309,NA,2,84.74380936
initial_10,blank,initial,12,10,NA,NA,NA,NA,0.056,NA,1,9.58145616
initial_10,blank,initial,12,10,NA,NA,NA,NA,0.07,NA,1,12.500744
initial_15,blank,initial,12,15,NA,NA,NA,NA,0.076,NA,1,13.79633456
initial_15,blank,initial,12,15,NA,NA,NA,NA,0.068,NA,1,12.07480944
initial_25,blank,initial,12,25,NA,NA,NA,NA,0.097,NA,1,18.54100904
initial_25,blank,initial,12,25,NA,NA,NA,NA,0.11,NA,1,21.641976
initial_45,blank,initial,12,45,NA,NA,NA,NA,0.157,NA,1,33.89814344
initial_45,blank,initial,12,45,NA,NA,NA,NA,0.151,NA,1,32.24236856
initial_90,blank,initial,12,90,NA,NA,NA,NA,0.265,NA,1,68.264426
initial_90,blank,initial,12,90,NA,NA,NA,NA,0.261,NA,1,66.83744776
initial_150,blank,initial,12,150,NA,NA,NA,NA,0.376,NA,1,112.5932706
initial_150,blank,initial,12,150,NA,NA,NA,NA,0.377,NA,1,113.0341322
initial_225,blank,initial,12,225,NA,NA,NA,NA,0.308,NA,2,84.35334384
initial_225,blank,initial,12,225,NA,NA,NA,NA,0.313,NA,2,86.31308264
initial_300,blank,initial,12,300,NA,NA,NA,NA,0.365,NA,2,107.792706
initial_300,blank,initial,12,300,NA,NA,NA,NA,0.37,NA,2,109.963664
1,final,final,16,10,10.53333333,1.35,2.816666667,16.3,0.041,0.58,1,6.61484136
2,final,final,16,10,10.55,1.4,2.85,16.5,0.047,0.46,1,7.78147704
3,blank,final,16,10,10.55,1.433333333,2.883333333,16.7,0.061,NA,1,10.60738376
4,final,final,16,15,10.66666667,1.466666667,2.8,16.5,0.039,0.35,1,6.23189176
5,final,final,16,15,10.68333333,1.516666667,2.833333333,16.3,0.067,0.43,1,11.86295384
6,blank,final,16,15,10.68333333,1.55,2.866666667,16.6,0.065,NA,1,11.441466
7,final,final,16,25,10.78333333,1.6,2.816666667,16.6,0.055,0.43,1,9.378494
8,final,final,16,25,10.8,1.65,2.85,16.5,0.05,0.42,1,8.3748
9,blank,final,16,25,10.81666667,1.683333333,2.866666667,16.5,0.102,NA,1,19.71886624
10,final,final,16,45,10.91666667,1.733333333,2.816666667,16,0.065,0.37,1,11.441466
11,final,final,16,45,10.93333333,1.783333333,2.85,16.5,0.049,0.4,1,8.17628456
12,blank,final,16,45,10.95,1.833333333,2.883333333,16.6,0.15,NA,1,31.969
13,final,final,16,90,11.03333333,1.9,2.866666667,16.3,0.128,0.45,1,26.14239504
14,final,final,16,90,11.03333333,1.95,2.916666667,16,0.104,0.46,1,20.19519696
15,blank,final,16,90,11.05,2,2.95,16.2,0.262,NA,1,67.19308064
16,final,final,16,150,11.15,2.033333333,2.883333333,16.1,0.256,0.42,1,65.07040016
17,final,final,16,150,11.16666667,2.083333333,2.916666667,16.4,0.221,0.38,1,53.21985096
18,blank,final,16,150,11.18333333,2.1,2.916666667,16.4,0.37,NA,1,109.963664
19,final,final,16,225,11.26666667,2.15,2.883333333,16,0.192,0.39,2,44.08858384
20,final,final,16,225,11.28333333,2.183333333,2.9,16.1,0.115,0.43,2,22.868006
21,blank,final,16,225,11.28333333,2.216666667,2.933333333,16.4,0.318,NA,2,88.29134944
22,final,final,16,300,11.36666667,2.25,2.883333333,16.3,0.318,0.43,2,88.29134944
23,final,final,16,300,11.38333333,2.283333333,2.9,16,0.282,0.39,2,74.46137344
24,blank,final,16,300,11.4,2.316666667,2.916666667,16.2,0.372,NA,2,110.837235
initial_10,blank,initial,16,10,NA,NA,NA,NA,0.065,NA,1,11.441466
initial_10,blank,initial,16,10,NA,NA,NA,NA,0.059,NA,1,10.19478936
initial_15,blank,initial,16,15,NA,NA,NA,NA,0.073,NA,1,13.14520424
initial_15,blank,initial,16,15,NA,NA,NA,NA,0.067,NA,1,11.86295384
initial_25,blank,initial,16,25,NA,NA,NA,NA,0.107,NA,1,20.91525144
initial_25,blank,initial,16,25,NA,NA,NA,NA,0.111,NA,1,21.88569976
initial_45,blank,initial,16,45,NA,NA,NA,NA,0.146,NA,1,30.88293696
initial_45,blank,initial,16,45,NA,NA,NA,NA,0.161,NA,1,35.01681576
initial_90,blank,initial,16,90,NA,NA,NA,NA,0.268,NA,1,69.34244144
initial_90,blank,initial,16,90,NA,NA,NA,NA,0.271,NA,1,70.42712696
initial_150,blank,initial,16,150,NA,NA,NA,NA,0.371,NA,1,110.400079
initial_150,blank,initial,16,150,NA,NA,NA,NA,0.376,NA,1,112.5932706
initial_225,blank,initial,16,225,NA,NA,NA,NA,0.303,NA,2,82.41213304
initial_225,blank,initial,16,225,NA,NA,NA,NA,0.311,NA,2,85.52696376
initial_300,blank,initial,16,300,NA,NA,NA,NA,0.376,NA,2,112.5932706
initial_300,blank,initial,16,300,NA,NA,NA,NA,0.379,NA,2,113.918079
1,final,final,4,10,2.133333333,5.05,2.916666667,4.4,0.045,0.34,1,7.389634
2,final,final,4,10,2.15,5.083333333,2.933333333,4.8,0.044,0.33,1,7.19482416
3,blank,final,4,10,2.166666667,5.116666667,2.95,4.6,0.05,NA,1,8.3748
4,final,final,4,15,2.233333333,5.15,2.916666667,4.3,0.053,0.43,1,8.97479304
5,final,final,4,15,2.25,5.183333333,2.933333333,3.9,0.04,0.5,1,6.422996
6,blank,final,4,15,2.266666667,5.216666667,2.95,4.2,0.075,NA,1,13.57855
7,final,final,4,25,2.433333333,5.25,2.816666667,4.2,0.041,0.42,1,6.61484136
8,final,final,4,25,2.45,5.283333333,2.833333333,4.1,0.043,0.47,1,7.00075544
9,blank,final,4,25,2.45,5.316666667,2.866666667,4,0.088,NA,1,16.46755664
10,final,final,4,45,2.55,5.366666667,2.816666667,4.3,0.051,0.58,1,8.57405656
11,final,final,4,45,2.566666667,5.4,2.833333333,4.4,0.09,0.31,1,16.923136
12,blank,final,4,45,2.566666667,5.433333333,2.866666667,4.5,0.147,NA,1,31.15334104
13,final,final,4,90,2.683333333,5.466666667,2.783333333,4.4,0.186,0.46,1,42.27717376
14,final,final,4,90,2.7,5.5,2.8,3.8,0.211,0.41,1,50.00073176
15,blank,final,4,90,2.7,5.55,2.85,4.2,0.269,NA,1,69.70326216
16,final,final,4,150,2.816666667,5.583333333,2.766666667,4.2,0.323,0.42,1,90.28814424
17,final,final,4,150,2.833333333,5.616666667,2.783333333,4.1,0.323,0.43,1,90.28814424
18,blank,final,4,150,2.833333333,5.65,2.816666667,3.9,0.377,NA,1,113.0341322
19,final,final,4,225,2.95,5.916666667,2.966666667,4.4,0.262,0.38,2,67.19308064
20,final,final,4,225,2.966666667,5.95,2.983333333,4.4,0.242,0.3,2,60.22123584
21,blank,final,4,225,2.966666667,5.983333333,3.016666667,4.4,0.299,NA,2,80.87250456
22,final,final,4,300,3.083333333,6.016666667,2.933333333,4.3,0.337,0.31,2,95.97773864
23,final,final,4,300,3.1,6.05,2.95,4.3,0.289,0.26,2,77.07531176
24,blank,final,4,300,3.1,6.083333333,2.983333333,4.3,0.366,NA,2,108.2254154
initial_10,blank,initial,4,10,NA,NA,NA,NA,0.056,NA,1,9.58145616
initial_10,blank,initial,4,10,NA,NA,NA,NA,0.054,NA,1,9.17627296
initial_15,blank,initial,4,15,NA,NA,NA,NA,0.066,NA,1,11.65183936
initial_15,blank,initial,4,15,NA,NA,NA,NA,0.063,NA,1,11.02294264
initial_25,blank,initial,4,25,NA,NA,NA,NA,0.085,NA,1,15.789746
initial_25,blank,initial,4,25,NA,NA,NA,NA,0.077,NA,1,14.01486024
initial_45,blank,initial,4,45,NA,NA,NA,NA,0.141,NA,1,29.54203336
initial_45,blank,initial,4,45,NA,NA,NA,NA,0.14,NA,1,29.276076
initial_90,blank,initial,4,90,NA,NA,NA,NA,0.269,NA,1,69.70326216
initial_90,blank,initial,4,90,NA,NA,NA,NA,0.265,NA,1,68.264426
initial_150,blank,initial,4,150,NA,NA,NA,NA,0.38,NA,1,114.361164
initial_150,blank,initial,4,150,NA,NA,NA,NA,0.377,NA,1,113.0341322
initial_225,blank,initial,4,225,NA,NA,NA,NA,0.302,NA,2,82.02611424
initial_225,blank,initial,4,225,NA,NA,NA,NA,0.303,NA,2,82.41213304
initial_300,blank,initial,4,300,NA,NA,NA,NA,0.368,NA,2,109.0930574
initial_300,blank,initial,4,300,NA,NA,NA,NA,0.37,NA,2,109.963664
1,final,final,21,10,12.7,3.583333333,2.883333333,21.1,0.037,0.24,1,5.85190664
2,final,final,21,10,12.73333333,3.616666667,2.883333333,21.1,0.036,0.49,1,5.66302576
3,blank,final,21,10,12.73333333,3.65,2.916666667,21.2,0.055,NA,1,9.378494
4,final,final,21,15,12.86666667,3.7,2.833333333,21.1,0.031,0.32,1,4.72973816
5,final,final,21,15,12.88333333,3.75,2.866666667,21.2,0.039,0.4,1,6.23189176
6,blank,final,21,15,12.88333333,3.783333333,2.9,21.3,0.063,NA,1,11.02294264
7,final,final,21,25,12.98333333,3.816666667,2.833333333,21.1,0.029,0.34,1,4.36161096
8,final,final,21,25,1,3.866666667,2.866666667,21.1,0.055,0.22,1,9.378494
9,blank,final,21,25,1,3.916666667,2.916666667,21.1,0.094,NA,1,17.84318816
10,final,final,21,45,1.083333333,3.95,2.866666667,21,0.06,0.25,1,10.400716
11,final,final,21,45,1.1,4,2.9,21.2,0.049,0.3,1,8.17628456
12,blank,final,21,45,1.1,4.033333333,2.933333333,21.2,0.15,NA,1,31.969
13,final,final,21,90,1.183333333,4.083333333,2.9,21.1,0.128,0.41,1,26.14239504
14,final,final,21,90,1.2,4.116666667,2.916666667,21,0.077,0.33,1,14.01486024
15,blank,final,21,90,1.2,4.166666667,2.966666667,20.9,0.264,NA,1,67.90656976
16,final,final,21,150,1.3,4.2,2.9,21.1,0.088,0.25,1,16.46755664
17,final,final,21,150,1.316666667,4.233333333,2.916666667,21,0.196,0.34,1,45.31101296
18,blank,final,21,150,1.316666667,4.283333333,2.966666667,20.9,0.369,NA,1,109.5279902
19,final,final,21,225,1.4,4.316666667,2.916666667,21,0.1,0.33,2,19.2455
20,final,final,21,225,1.416666667,4.35,2.933333333,20.9,0.171,0.23,2,37.86537496
21,blank,final,21,225,1.416666667,4.433333333,3.016666667,21,0.295,NA,2,79.344734
22,final,final,21,300,1.5,4.466666667,2.966666667,20.8,0.279,0.28,2,73.35223096
23,final,final,21,300,1.516666667,4.5,2.983333333,20.9,0.252,0.4,2,63.67010224
24,blank,final,21,300,1.516666667,4.533333333,3.016666667,21,0.364,NA,2,107.3607378
initial_10,blank,initial,21,10,NA,NA,NA,NA,0.06,NA,1,10.400716
initial_10,blank,initial,21,10,NA,NA,NA,NA,0.058,NA,1,9.98960384
initial_15,blank,initial,21,15,NA,NA,NA,NA,0.067,NA,1,11.86295384
initial_15,blank,initial,21,15,NA,NA,NA,NA,0.078,NA,1,14.23412704
initial_25,blank,initial,21,25,NA,NA,NA,NA,0.094,NA,1,17.84318816
initial_25,blank,initial,21,25,NA,NA,NA,NA,0.095,NA,1,18.075054
initial_45,blank,initial,21,45,NA,NA,NA,NA,0.142,NA,1,29.80873184
initial_45,blank,initial,21,45,NA,NA,NA,NA,0.149,NA,1,31.69637256
initial_90,blank,initial,21,90,NA,NA,NA,NA,0.256,NA,1,65.07040016
initial_90,blank,initial,21,90,NA,NA,NA,NA,0.259,NA,1,66.12840536
initial_150,blank,initial,21,150,NA,NA,NA,NA,0.367,NA,1,108.6588658
initial_150,blank,initial,21,150,NA,NA,NA,NA,0.37,NA,1,109.963664
initial_225,blank,initial,21,225,NA,NA,NA,NA,0.293,NA,2,78.58529544
initial_225,blank,initial,21,225,NA,NA,NA,NA,0.297,NA,2,80.10713704
initial_300,blank,initial,21,300,NA,NA,NA,NA,0.361,NA,2,106.0692798
initial_300,blank,initial,21,300,NA,NA,NA,NA,0.356,NA,2,103.9316722
1,final,final,10,10,12.33333333,3.383333333,3.05,10.3,0.043,0.45,1,7.00075544
2,final,final,10,10,12.36666667,3.433333333,3.066666667,9.9,0.042,0.36,1,6.80742784
3,blank,final,10,10,12.36666667,3.466666667,3.1,9.9,0.065,NA,1,11.441466
4,final,final,10,15,12.45,3.5,3.05,9.6,0.036,0.6,1,5.66302576
5,final,final,10,15,12.46666667,3.55,3.083333333,10,0.038,0.25,1,6.04152864
6,blank,final,10,15,12.46666667,3.583333333,3.116666667,10,0.08,NA,1,14.674884
7,final,final,10,25,12.55,3.616666667,3.066666667,9.8,0.036,0.31,1,5.66302576
8,final,final,10,25,12.56666667,3.666666667,3.1,9.5,0.044,0.47,1,7.19482416
9,blank,final,10,25,12.56666667,3.7,3.133333333,9.3,0.098,NA,1,18.77509824
10,final,final,10,45,12.63333333,3.733333333,3.1,9.5,0.04,0.38,1,6.422996
11,final,final,10,45,12.65,3.766666667,3.116666667,9.5,0.041,0.5,1,6.61484136
12,blank,final,10,45,12.65,3.8,3.15,9.5,0.15,NA,1,31.969
13,final,final,10,90,12.73333333,3.85,3.116666667,9.3,0.094,0.35,1,17.84318816
14,final,final,10,90,12.75,3.883333333,3.133333333,9.4,0.181,0.37,1,40.78804616
15,blank,final,10,90,12.75,3.916666667,3.166666667,9.8,0.266,NA,1,68.62302336
16,final,final,10,150,12.83333333,3.95,3.116666667,9.5,0.238,0.36,1,58.86244064
17,final,final,10,150,12.85,4,3.15,9.5,0.184,0.31,1,41.67929936
18,blank,final,10,150,12.85,4.05,3.2,9.3,0.37,NA,1,109.963664
19,final,final,10,225,12.95,4.083333333,3.133333333,9.3,0.173,0.56,2,38.44398024
20,final,final,10,225,12.96666667,4.133333333,3.166666667,9.2,0.188,0.57,2,42.87801264
21,blank,final,10,225,12.96666667,4.2,3.233333333,9.3,0.293,NA,2,78.58529544
22,final,final,10,300,1.066666667,4.233333333,3.166666667,9.3,0.258,0.37,2,65.77499584
23,final,final,10,300,1.083333333,4.25,3.166666667,9.5,0.257,0.44,2,65.42232744
24,blank,final,10,300,1.083333333,4.3,3.216666667,9.4,0.374,NA,2,111.7137706
initial_10,blank,initial,10,10,NA,NA,NA,NA,0.073,NA,1,13.14520424
initial_10,blank,initial,10,10,NA,NA,NA,NA,0.065,NA,1,11.441466
initial_15,blank,initial,10,15,NA,NA,NA,NA,0.075,NA,1,13.57855
initial_15,blank,initial,10,15,NA,NA,NA,NA,0.074,NA,1,13.36150656
initial_25,blank,initial,10,25,NA,NA,NA,NA,0.098,NA,1,18.77509824
initial_25,blank,initial,10,25,NA,NA,NA,NA,0.117,NA,1,23.36360584
initial_45,blank,initial,10,45,NA,NA,NA,NA,0.153,NA,1,32.79132904
initial_45,blank,initial,10,45,NA,NA,NA,NA,0.155,NA,1,33.343254
initial_90,blank,initial,10,90,NA,NA,NA,NA,0.256,NA,1,65.07040016
initial_90,blank,initial,10,90,NA,NA,NA,NA,0.264,NA,1,67.90656976
initial_150,blank,initial,10,150,NA,NA,NA,NA,0.374,NA,1,111.7137706
initial_150,blank,initial,10,150,NA,NA,NA,NA,0.373,NA,1,111.2751322
initial_225,blank,initial,10,225,NA,NA,NA,NA,0.294,NA,2,78.96464416
initial_225,blank,initial,10,225,NA,NA,NA,NA,0.303,NA,2,82.41213304
initial_300,blank,initial,10,300,NA,NA,NA,NA,0.369,NA,2,109.5279902
initial_300,blank,initial,10,300,NA,NA,NA,NA,0.385,NA,2,116.587706
1,final,final,20,10,11.86666667,2.866666667,3,19.7,0.068,0.4,1,12.07480944
2,final,final,20,10,11.88333333,2.9,3.016666667,19.6,0.05,0.57,1,8.3748
3,blank,final,20,10,11.9,2.933333333,3.033333333,19.7,0.072,NA,1,12.92964304
4,final,final,20,15,11.96666667,2.983333333,3.016666667,19.6,0.066,0.3,1,11.65183936
5,final,final,20,15,11.98333333,3.016666667,3.033333333,19.7,0.045,0.33,1,7.389634
6,blank,final,20,15,12,3.066666667,3.066666667,19.9,0.078,NA,1,14.23412704
7,final,final,20,25,12.06666667,3.116666667,3.05,19.7,0.04,0.65,1,6.422996
8,final,final,20,25,12.08333333,3.166666667,3.083333333,19.6,0.055,0.28,1,9.378494
9,blank,final,20,25,12.1,3.216666667,3.116666667,19.7,0.106,NA,1,20.67449216
10,final,final,20,45,12.15,3.25,3.1,19.5,0.047,0.64,1,7.78147704
11,final,final,20,45,12.16666667,3.283333333,3.116666667,19.4,0.052,0.49,1,8.77405424
12,blank,final,20,45,12.16666667,3.333333333,3.166666667,19.4,0.147,NA,1,31.15334104
13,final,final,20,90,12.23333333,3.366666667,3.133333333,19.4,0.116,0.34,1,23.11543536
14,final,final,20,90,12.25,3.416666667,3.166666667,19.5,0.1,0.34,1,19.2455
15,blank,final,20,90,12.25,3.45,3.2,19.5,0.262,NA,1,67.19308064
16,final,final,20,150,12.33333333,3.5,3.166666667,19.4,0.194,0.29,1,44.69831616
17,final,final,20,150,12.35,3.55,3.2,19.5,0.116,0.35,1,23.11543536
18,blank,final,20,150,12.35,3.616666667,3.266666667,19.3,0.377,NA,1,113.0341322
19,final,final,20,225,12.43333333,3.666666667,3.233333333,19.4,0.225,0.39,2,54.52825
20,final,final,20,225,12.45,3.7,3.25,19.4,0.171,0.48,2,37.86537496
21,blank,final,20,225,12.45,3.816666667,3.366666667,19.3,0.3,NA,2,81.2563
22,final,final,20,300,12.53333333,3.85,3.316666667,19.4,0.088,0.71,2,16.46755664
23,final,final,20,300,12.55,3.9,3.35,19.3,0.191,0.31,2,43.78482936
24,blank,final,20,300,12.55,3.933333333,3.383333333,19.6,0.373,NA,2,111.2751322
initial_10,blank,initial,20,10,NA,NA,NA,NA,0.068,NA,1,12.07480944
initial_10,blank,initial,20,10,NA,NA,NA,NA,0.069,NA,1,12.28740616
initial_15,blank,initial,20,15,NA,NA,NA,NA,0.074,NA,1,13.36150656
initial_15,blank,initial,20,15,NA,NA,NA,NA,0.082,NA,1,15.11860544
initial_25,blank,initial,20,25,NA,NA,NA,NA,0.113,NA,1,22.37537064
initial_25,blank,initial,20,25,NA,NA,NA,NA,0.111,NA,1,21.88569976
initial_45,blank,initial,20,45,NA,NA,NA,NA,0.159,NA,1,34.45599736
initial_45,blank,initial,20,45,NA,NA,NA,NA,0.15,NA,1,31.969
initial_90,blank,initial,20,90,NA,NA,NA,NA,0.263,NA,1,67.54945464
initial_90,blank,initial,20,90,NA,NA,NA,NA,0.268,NA,1,69.34244144
initial_150,blank,initial,20,150,NA,NA,NA,NA,0.353,NA,1,102.658001
initial_150,blank,initial,20,150,NA,NA,NA,NA,0.378,NA,1,113.475735
initial_225,blank,initial,20,225,NA,NA,NA,NA,0.303,NA,2,82.41213304
initial_225,blank,initial,20,225,NA,NA,NA,NA,0.299,NA,2,80.87250456
initial_300,blank,initial,20,300,NA,NA,NA,NA,0.376,NA,2,112.5932706
initial_300,blank,initial,20,300,NA,NA,NA,NA,0.366,NA,2,108.2254154
